project_name_fa,project_name_en,project_name_ru,status_fa,status_en,status_ru,location_fa,location_en,location_ru,site_address_fa,site_address_en,site_address_ru,employer_fa,employer_en,employer_ru,contract_amount,currency,start_date,end_date,start_date_fa,end_date_fa
عملیات اجرایی انتقال رسوب به یال غربی سد باطله معدن مس میدوک,Sediment transfer to the west bank of the Miduk copper mine tailings dam,Исполнительные работы по перемещению осадка на западный склон дамбы хвостохранилища рудника Медок медного месторождения,پایان یافته,Complete,Завершенный,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شرکت ملی صنایع مس ایران,National Copper Industries of Iran(NICICO),Национальная иранская медная компания (NICICO),1.93577E+11,IRR,6/7/2023,10/3/2025,1402/03/17,1404/07/11
احداث تقاطع غیرهمسطح فلکه اول رجایی شهر به صورت گروه طرح و ساخت EPC,Construction of first floor underpass of Gohardasht Karaj,Строительство транспортной развязки на первом кольце города Реджаи Шахр в формате EPC (групповой проект и строительство),پایان یافته,Complete,Завершенный,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شهرداری کرج,Municipality of Karaj,Муниципалитет Карадж,2.71347E+12,IRR,10/23/2023,4/20/2025,1402/08/01,1404/01/31
عملیات اجرایی احداث محور قزوین-رحیم آباد-کلاچای حد فاصل جاده باراجین(کیلومتر 500+4 الی 000+9),"Construction of Rahim abad-kolachay Road axis in the vicinity of Barajin road 
(KM 4+500 to KM 9+000)",Строительство дороги Рахим Абад-Калачай в районе Бараджин (KM 4+500 to KM 9+000),پایان یافته,Complete,Завершенный,داخلی,Domestic,Внутренний,ایران,Iran,Иран,اداره کل راه و شهرسازی استان قزوین,Qazvin Provincial Department of Roads and Urban Development,Провинциальное управление дорог и градостроительства Казвин,1.54501E+12,IRR,5/29/2023,11/28/2024,1402/03/08,1403/09/08
احداث سد خاکی ایاسی در تانزانیا,CONSTRUCTION OF EYASI DAM AT KARA TU DITRICT COUNCIL IN ARUSHA REGION,Строительство земляной плотины Эяси,پایان یافته,Complete,Завершенный,خارجی,International,Международный,تانزانیا,Tanznia,Танзания, کمیسیون ملی آبیاری - وزارت کشاورزی,National Irrigation Commission – Ministry of Agriculture,Национальная ирригационная комиссия – Министерство сельского хозяйства,21831962013,TZS,4/28/2024,10/28/2025,1403/02/09,1404/08/06
پروژه احداث سیستم آبیارى و زهکشى آریس  ترکستان  1 در جمهورى قزاقستان,Improvement of Irrigation and Drainage Systems of  Arys-Turkestan-1 Under Second Irrigation and Drainage Improvement Project (IDIP-2),"работы по усовершенствованию ирригационно-дренажной системы ""Арысь-Туркестан-1""  Второй пусковой комплекс  в рамках  «Второй фазы проекта по усовершенствованию ирригационных и дренажных систем (ПУИД-2)»",پایان یافته,Complete,Завершенный,خارجی,International,Международный,قزاقستان,Kazakhstan,Казахстан,کمیته مدیریت آب وزارت منابع آب و آبیاری جمهوری قزاقستان,RSE Committee for Water Resources Ministry of Agriculture of the Republic of Kazakhstan,РГП «Комитет по водным ресурсам Министерства сельского хозяйства Республики Казахстан»,10961207958,KZT,4/11/2019,9/30/2025,1398/01/22,1404/07/08
پروژه احداث سیستم آبیارى و زهکشى PMC- در جمهورى قزاقستان,Improvement of Irrigation and Drainage Systems of  Pravoberezhnyi Main Canal (PMC),Проект строительства ирригационно-дренажной системы PMC в Республике Казахстан,پایان یافته,Complete,Завершенный,خارجی,International,Международный,قزاقستان,Kazakhstan,Казахстан,کمیته مدیریت آب وزارت منابع آب و آبیاری جمهوری قزاقستان,"Committee for Water Resources, Ministry of Ecology, Geology and Natural Resources, Republic of Kazakhstan","Комитет по водным ресурсам Министерства экологии, геологии и природных ресурсов Республики Казахстан",6548517756,KZT,2/4/2022,12/31/2025,1400/11/15,1404/10/10
"عملیات اجرایی پل خرپایی فولادی دوم به طول ۳۹ متر، جهت اتصال بزرگراه M6 به شهر آختالا (پل فولادی آختالا-۱)",Construction works of the 2nd steel truss bridge L=39m connecting the M6 highway to the city of Akhtala (Akhtala-1 steel bridge),"Строительные работы второго стального ферменного моста длиной 39 м, соединяющего автомагистраль M6 с городом Ахтала (стальной мост Ахтала-1)",پایان یافته,Complete,Завершенный,خارجی,International,Международный,ارمنستان,Armenia,Армения,سرمایه گذاری «اداره راه» به نمایندگی از وزارت مدیریت منطقه‌ای و زیرساخت‌ها,"""Road Department"" Fund on behalf of Ministry of Territorial Administration and Infrastructure",Фонд «Дорожный департамент» при Министерстве территориального управления и инфраструктуры,710000,USD,12/1/2024,2/15/2025,1403/09/11,1403/11/27
"عملیات اجرایی پل خرپایی فولادی دوم به طول ۳۹ متر، جهت اتصال بزرگراه M6 به شهر آختالا (پل فولادی آختالا-۲)",Construction works of the 2nd steel truss bridge L=39m connecting the M6 highway to the city of Akhtala (Akhtala-2 steel bridge),"Строительные работы второго стального ферменного моста длиной 39 м, соединяющего автомагистраль M6 с городом Ахтала (стальной мост Ахтала-2)",پایان یافته,Complete,Завершенный,خارجی,International,Международный,ارمنستان,Armenia,Армения,سرمایه گذاری «اداره راه» به نمایندگی از وزارت مدیریت منطقه‌ای و زیرساخت‌ها,"""Road Department"" Fund on behalf of Ministry of Territorial Administration and Infrastructure",Фонд «Дорожный департамент» при Министерстве территориального управления и инфраструктуры,750000,USD,8/25/2025,11/10/2025,1404/06/03,1404/08/19
"عملیات اجرایی پل خرپایی فولادی دوم به طول ۳۹ متر، جهت اتصال بزرگراه M6 به شهر آختالا (پل‌های خرپایی فولادی دوقلوی خاشتاراک)",Construction works of the 2nd steel truss bridge L=39m connecting the M6 highway to the city of Akhtala (Khashtarak twin steel bridges),"Строительные работы второго стального ферменного моста длиной 39 м, соединяющего автомагистраль M6 с городом Ахтала (двойные стальные ферменные мосты Хаштарака)",پایان یافته,Complete,Завершенный,خارجی,International,Международный,ارمنستان,Armenia,Армения,سرمایه گذاری «اداره راه» به نمایندگی از وزارت مدیریت منطقه‌ای و زیرساخت‌ها,"""Road Department"" Fund on behalf of Ministry of Territorial Administration and Infrastructure",Фонд «Дорожный департамент» при Министерстве территориального управления и инфраструктуры,750000,USD,8/30/2025,11/30/2025,1404/06/08,1404/09/09
تهیه مصالح و احداث سالن آبگیری باطله (فلوتاسیون)0036,Procurement of materials and construction of the tailings (flotation) thickening hall 0036,Закупка материалов и строительство зала водоотведения хвостов (флотация) 0036,دوره گارانتی,Warranty,гарантия,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شرکت ملی صنایع مس ایران,National Copper Industries of Iran(NICICO),Национальная иранская медная компания (NICICO),6.97613E+11,IRR,5/7/2023,4/28/2025,1402/02/17,1404/02/08
"تهیه مصالح و احداث ساختمان ادمین، دیوار حایل و فونداسیون های ناحیه کراشر و بلندینگ، ادمین آبگیری، استخر آب برگشتی و تعمیرگاه (فلوتاسیون)0043","Procurement of materials and construction of the admin building, retaining wall, and foundations of the crusher and blending area, dewatering admin building, return water pond, and workshop (flotation) 0043","Закупка материалов и строительство административного здания, подпорной стены и фундаментов в зоне дробилки и блендинга, административного здания водоотведения, бассейна возвратной воды и ремонтной мастерской (флотация) 0043",دوره گارانتی,Warranty,гарантия,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شرکت ملی صنایع مس ایران,National Copper Industries of Iran(NICICO),Национальная иранская медная компания (NICICO),1.69594E+12,IRR,8/1/2023,5/21/2025,1402/05/10,1404/02/31
عملیات اجرایی ناحیه سنگ شکن پروژه تغلیظ فاز 2 میدوک,"Execution works of the Crusher Area, Miduk Concentration Project Phase 2","Исполнительные работы в зоне дробилки проекта обогащения, фаза 2, Медок",دوره گارانتی,Warranty,гарантия,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شرکت فنی و مهندسی کانی مس,Canymes Industrial and Mining Engineering Technical Services Company,Инженерно-техническая компания Canymes в промышленности и горном деле,3.87795E+12,IRR,9/3/2023,10/22/2025,1402/06/12,1404/07/30
پروژه احداث سیستم آبیارى و زهکشى ماختارال- در جمهورى قزاقستان (قطعه دوم),"Improvement of Irrigation and Drainage Systems of  Makhtaaral-1, Second Launch Area, Under Second Irrigation and Drainage Improvement Project ","Работы по усовершенствованию ирригационно-дренажной системы ""Мактаарал-1б"" Второй пусковой комплекс  в рамках  «Второй фазы проекта по усовершенствованию ирригационных и дренажных систем (ПУИД-2)»",دوره گارانتی,Warranty,гарантия,خارجی,International,Международный,قزاقستان,Kazakhstan,Казахстан,کمیته منابع آبِ وزارت کشاورزی جمهوری قزاقستان,"Committee for Water Resources, Ministry of Agriculture
Republic of Kazakhstan",Комитет по водным ресурсам Министерства сельского хозяйства Республики Казахстан,8145047163,KZT,3/20/2024,12/31/2026,1403/01/01,1405/10/10
ساختمان شتاب دهنده شهر مهندسی ایروان,Yerevan Engineering City Accelerator Building,Здание акселератора Инженерного города Еревана,دوره گارانتی,Warranty,гарантия,خارجی,International,Международный,ارمنستان,Armenia,Армения,بنیاد انکوباتور (مرکز رشد) کسب‌وکار,"""Enterprise Incubator""Foundation",Фонд «Инкубатор предприятий»,2839989600,AMD,7/10/2023,5/31/2025,1402/04/19,1404/03/10
بازسازی ساختمان گمرگ ارمنستان در مرز باگراتاشن,Reconstruction of the Armenian Customs Building at the Bagratashen Border,Реконструкция здания армянской таможни на границе Баграташена,دوره گارانتی,Warranty,гарантия,خارجی,International,Международный,ارمنستان,Armenia,Армения,دبیرکل کمیته درآمدهای دولتی جمهوری ارمنستان,State Revenue Committee of the Republic of Armenia General Secretary,Государственный комитет доходов Республики Армения (Генеральный секретариат),1385156763,AMD,10/13/2023,7/1/2025,1402/07/21,1404/04/10
  احداث و ساخت سازه آبگیر ورودی سد و نیروگاه برق آبی راغون-جمهوری تاجیکستان لات 4  (Early Works),"Rogun dam, HPP and its infrastructures in Tajikistan
 (Lot-4) (Early Works)",Рогунская плотина и ГЭС  и ее инфраструктуры в Республике Таджикистан(Ранние работы),جاری,In Progress,Выполняется,خارجی,International,Международный,تاجیکستان,Tajikistan,Таджикистан,گروه مدیریت پروژه احداث تأسیسات انرژی تحت نظارت رئیس‌جمهور جمهوری تاجیکستان,PROJECT MANAGEMENT GROUP FOR ENERGY FACILITIES CONSTRUCTION UNDER THE PRESIDENT OF THE REPUBLIC OF TAJIKISTAN,Группа управления проектами строительства энергетических объектов при Президенте Республики Таджикистан,343075580,USD,8/25/2021,12/31/2025,1400/06/03,1404/10/10
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)","Execution and safety implementation of the downstream flood discharge system, access road, and remaining works of the Narmashir (Nesa) Dam.","Исполнительные работы и обеспечение безопасности нижнего бьефа системы сброса паводковых вод, подъездной дороги и оставшихся работ по дамбе Нармашир (Нисе)",جاری,In Progress,Выполняется,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شرکت آب منطقه ای کرمان,Regional Water Company of Kerman,Региональная водная компания Кермана,7.20086E+11,IRR,8/26/2020,7/2/2026,1399/06/05,1405/04/11
"احداث تونل انتقال آب کامه به همراه سازه های تبدیل ورودی و خروجی به صورت طرح و ساخت
(EPC غیر صنعتی)",Construction of Kameh water transfer tunnel and its hydraulic structures under EPC condition,Строительство водоводного туннеля Кама с устройствами для ввода и вывода воды по принципу проектирования и строительства (несистемный EPC),جاری,In Progress,Выполняется,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شرکت تامین آب صنایع و معادن,Industries and mines Water Supply Company,Компания водоснабжения промышленности и горнодобывающего сектора,9.40724E+11,IRR,4/30/2023,3/20/2026,1402/02/10,1404/12/29
انجام عملیات اجرایی ایستگاه پمپاژ دوم بن یکه بر روی خط انتقال آب خلیج فارس 22W1  در مجاورت ایستگاه پمپاژ موجود بن یکه,"Execution of works for the Second Benyakeh Pumping Station on the Persian Gulf Water Transmission Line 22W1, adjacent to the existing Benyakeh Pumping Station",Выполнение исполнительных работ на второй насосной станции Бен Янке на линии водопередачи Персидского залива 22W1 рядом с существующей насосной станцией Бен Янке,جاری,In Progress,Выполняется,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شرکت ملی صنایع مس ایران,National Copper Industries of Iran(NICICO),Национальная иранская медная компания (NICICO),410152790927[br]5530140,IRR[br]EUR,6/24/2023,2/25/2027,1402/04/03,1405/12/06
احداث رستوران بزرگ پتروشیمی بندر امام,Construction of  petrochemical restaurant in Bandar Imam,Здание бизнес-акселератора инженерного направления в Ереване,جاری,In Progress,Выполняется,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شرکت پتروشیمی بندر امام,Bandar Imam Petrochemieunternehmen,Петрохимическая компания «Бандар Имам»,2.22627E+12,IRR,9/3/2023,3/6/2026,1402/06/12,1404/12/15
احداث مجموعه ورزشی گلشن,Construction of Golshan sports complex,Строительство спортивного комплекса «Голешан».,جاری,In Progress,Выполняется,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شهرداری تهران منطقه 4,Municipality of Tehran,Муниципалитет Тегерана,4.71056E+11,IRR,11/21/2023,12/2/2025,1402/08/30,1404/09/11
احداث خانه کشتی شهدای شمیران نو,Construction of the Shemiran Shuhada Ship House,Строительство Академии борьбы имени «Шохада Аль-Гадир»,جاری,In Progress,Выполняется,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شهرداری تهران منطقه 4,Municipality of Tehran,Муниципалитет Тегерана,4.79986E+11,IRR,11/27/2023,5/24/2026,1402/09/06,1405/03/03
پروژه احداث مهمانسرای (هتل) مجتمع مس شهر بابک,Construction Project of the Guesthouse (Hotel) of the Shahr-e Babak Copper Complex,Проект строительства гостиницы (отеля) комплекса медного завода города Бабак,جاری,In Progress,Выполняется,داخلی,Domestic,Внутренний,ایران,Iran,Иран, شرکت مهندسي و ساخت فرآوري صنايع غير آهني (نيپک),"Non-Ferrous Industries Process, Engineering, and Construction Company (NIPEC)","Компания цветной металлургии, инжиниринга и строительства (NIPEC)",2.07392E+12,IRR,9/3/2023,3/20/2026,1402/06/12,1404/12/29
احداث 32 کیلومتر راه از آگاراک به واردانیز و در ادامه به تونل موجود (بخش چهارم) کاجاران,"Construction of 32 km road from Agarak to Vardanish and continuing to the existing tunnel (Section 4), Kajaran",Строительство дороги протяженностью 32 км от Агарака до Вардениза,جاری,In Progress,Выполняется,خارجی,International,Международный,ارمنستان,Armenia,Армения,"بنیاد ""اداره راه"" به نمایندگی از وزارت اداره سرزمینی و زیرساخت‌ها","""Road Department"" Fund on behalf of Ministry of Territorial Administration and Infrastructure",Фонд «Дорожный департамент» при Министерстве территориального управления и инфраструктуры,214388543,USD,2/5/2024,2/1/2027,1402/11/16,1405/11/12
عملیات اجرایی احداث تونل اسالم به خلخال (گردنه الماس),Execution of construction works for the Asalem to Khalkhal Tunnel (Almas Pass),Исполнительные работы по строительству туннеля Асалам — Халхал (перевал Алмас),جاری,In Progress,Выполняется,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شرکت مادر تخصصی ساخت و توسعه زیر بناهای حمل و نقل کشور,Construction and development of the country's transportation infrastructure,Строительство и развитие транспортной инфраструктуры страны,9.81668E+12,IRR,9/28/2023,9/27/2027,1402/07/06,1406/07/05
"تهیه مصالح و اجرای سازه بخش شمالی تا تراز همکف، جمع آوری برم خاکی و اجرای سازه نگهبان
 مجتمع تجاری – اداری ایوانک","Procurement of materials and construction of the northern section structure up to the ground floor level, removal of earth berms, and construction of the retaining structure Eyvank Commercial–Administrative Complex","Закупка материалов и возведение конструкции северной части до уровня цокольного этажа, сборка земляного вала и устройство подпорной конструкции в торгово-административном комплексе «Иванк»",جاری,In Progress,Выполняется,داخلی,Domestic,Внутренний,ایران,Iran,Иран,اداره کارپردازی به نمایندگی از بانک تجارت,Trading Department on behalf of Tejarat Bank,Торговый департамент от имени банка Tejarat,3.7133E+12,IRR,11/13/2023,4/17/2026,1402/08/22,1405/01/28
عملیات اجرایی احداث باند دوم محور خمین-الیگودرز,Construction of second band of Khomein-Aligudarz Highway,шоссе Хомейн-Алигударз,جاری,In Progress,Выполняется,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شرکت مادر تخصصی ساخت و توسعه زیر بناهای حمل و نقل کشور,Company of the construction and development of the country of Iran's transportation infrastructure,Компания по строительству и развитию транспортной инфраструктуры Ирана,2.54664E+12,IRR,11/1/2021,6/21/2027,1400/08/10,1406/03/31
"آماده سازی، باطله برداری، استخراج ماده معدنی (طلا و زرنیخ)، احداث و نگهداری راههای دسترسی در معدن طلای زرشوران","Preparation, waste removal, extraction of mineral ore (gold and arsenic), construction and maintenance of access roads at the ZarShouran Gold Mine","Подготовка, вывоз хвостов, добыча полезного ископаемого (золото и сурьма), строительство и обслуживание подъездных дорог на золотом месторождении Зершуран.",جاری,In Progress,Выполняется,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شرکت گسترش معادن و صنایع معدنی طلای زرشوران,Zarshouran Gold Mine Development and Mineral Industries Company,Компания по разработке золоторудного месторождения Заршоуран и минеральной промышленности,2.20503E+13,IRR,7/10/2024,7/10/2027,1403/04/20,1406/04/19
"تهيه، ساخت، حمل و اجرای عمليات كوبش شمع هاي بتني پيش ساخته واحد كلر آلكالي","Preparation, construction, transportation and implementation of precast concrete pile driving operations of chlor-alkali unit","Закупка, изготовление, транспортировка и забивка сборных железобетонных свай для хлор щелочного цеха",جاری,In Progress,Выполняется,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شرکت پتروشیمی بندر امام,Bandar Imam Petrochemieunternehmen,Петрохимическая компания «Бандар Имам»,4.66621E+12,IRR,10/13/2024,12/13/2025,1403/07/22,1404/09/22
توسعه بی ترانس پست ۶۳/۲۰ کیلوولت صنعتی دلیجان ۲,Development of Baytrans 63.20 KV industrial substation in Dilijan 2,Проект расширения трансформаторного отсека 63 кВ на подстанции 63/20 кВ Делиджан 2,جاری,In Progress,Выполняется,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شرکت سهامی برق منطقه‌ای باختر,Bakhtar Regional Electric Company,Баxтарская региональная энергетическая компания,3.89646E+11,IRR,11/12/2024,2/11/2026,1403/08/22,1404/11/22
ساختمان مسکونی تجاری کرج,Karaj Residential– Commercial Building (Rajaii Shahr),Жилое и коммерческое здание в Карадж,جاری,In Progress,Выполняется,داخلی,Domestic,Внутренний,ایران,Iran,Иран,تونل سد آریانا,Tunnel Sadd Ariana,Тоннель «Садд Ариана»,1952138500,IRR,4/8/2024,4/14/2026,1403/01/20,1405/01/25
تکمیل پروژه خانه کشتی و مجموعه ورزشی گلشن (ابنیه و تاسیسات موتور خانه و تصفیه استخر),Completion of the Golshan Wrestling Hall and Sports Complex Project (building structures and installations of the engine room and pool filtration system).,"Завершение проекта «Дом борьбы» и спортивного комплекса «Голешан» (здания и оборудование машинного отделения, очистка бассейна)",جاری,In Progress,Выполняется,داخلی,Domestic,Внутренний,ایران,Iran,Иран,شهرداری تهران-منطقه 4,Municipality of Tehran,Муниципалитет Тегерана,5.33518E+11,IRR,9/29/2025,3/27/2026,1404/07/07,1405/01/07
"بازسازی سیستم تامین آب و تاسیسات آبیاری در منطقه ژامبیل: ساخت کانال های بوشاکای 1، 2 و 3","Rehabilitation of the Water Supply and Irrigation Facilities in Zhambyl Region: Construction of Bushakay-1, Bushakay-2, and
 Bushakay-3 Canals","Реконструкция системы водоснабжения и ирригационных сооружений в районе Жамбыл: строительство каналов Бушакай 1, 2 и 3",جاری,In Progress,Выполняется,خارجی,International,Международный,قزاقستان,Kazakhstan,Казахстан,شرکت دولتی جمهوری RSE (سازمان مدیریت منابع آب قزاقستان),"Republican State Enterprise(RSE) ""Kazvodkhoz""",РГП «Казводхоз»,1133690844,KZT (₸),10/20/2025,4/7/2028,1404/07/28,1407/01/19
بازسازی سیستم تامین آب و تاسیسات آبیاری در منطقه ژامبیل: ساخت کانال سازا,Rehabilitation of the Water Supply and Irrigation Facilities in Zhambyl Region: Construction of Saza Canal,Реконструкция системы водоснабжения и ирригационных сооружений в районе Жамбыл: строительство канала Саза,جاری,In Progress,Выполняется,خارجی,International,Международный,قزاقستان,Kazakhstan,Казахстан,شرکت دولتی جمهوری RSE (سازمان مدیریت منابع آب قزاقستان),"Republican State Enterprise(RSE) ""Kazvodkhoz""",РГП «Казводхоз»,2053151059,KZT (₸),10/20/2025,4/7/2028,1404/07/28,1407/01/19
تأمین و حمل 50000 تن قیر به ترکمنستان,"Supply and Transportation of 50,000 tons of bitumen to Turkmenistan",Поставка и перевозка 50 000 тонн битума в Туркменистан,جاری,In Progress,Выполняется,خارجی,International,Международный,ترکمنستان,Turkmenistan,Туркменистан,آژانس دولتی مدیریت راه سازی جاده ای  ترکمنستان و وزارت نیرو ترکمسنتان,"Republican State Enterprise(RSE) ""Kazvodkhoz""",РГП «Казводхоз»,29750000,USD,5/28/2025,3/24/2026,1404/03/07,1405/01/04
"عملیات اجرایی پل خرپایی فولادی دوم به طول ۳۹ متر، جهت اتصال بزرگراه M6 به شهر آختالا (پل فولادی خاکومی)",Construction works of the 2nd steel truss bridge L=39m connecting the M6 highway to the city of Akhtala (Hakhumi steel bridge),"Строительные работы второго стального ферменного моста длиной 39 м, соединяющего автомагистраль M6 с городом Ахтала (стальной мост Хахуми)",جاری,In Progress,Выполняется,خارجی,International,Международный,ارمنستان,Armenia,Армения,سرمایه گذاری «اداره راه» به نمایندگی از وزارت مدیریت منطقه‌ای و زیرساخت‌ها,"""Road Department"" Fund on behalf of Ministry of Territorial Administration and Infrastructure",Фонд «Дорожный департамент» при Министерстве территориального управления и инфраструктуры,700000,USD,11/15/2025,-,1404/08/24,-
ساخت پل گوده-گوده و جاده های مربوطه,Construction of Godeh-Godeh Bridge and its related roads,Строительство моста Гуде-Гуде и связанных с ним дорог,در حال ابلاغ,Being communicated,Ожидает утверждения,خارجی,International,Международный,تانزانیا,Tanznia,Танзания,سازمان ملی راه‌های کشور تانزانیا,TANZANIA NATIONAL ROADS AGENCY,Танзанийское национальное дорожное агентство,30161160401,TZS,8/9/2024,2/8/2026,1403/05/19,1404/11/19
احداث 242 کیلومتر راه به همراه تمام تقاطعات در ترکمنستان,Construction of 242 km of road along with all intersections in Turkmenistan,Строительство 242 километров дороги вместе со всеми перекрёстками в Туркменистане,در حال ابلاغ,Being communicated,Ожидает утверждения,خارجی,International,Международный,ترکمنستان,Turkmenistan,Туркменистан,آژانس دولتی مدیریت ساخت بزرگراه های کشور ترکمنستان,State Agency for the Management of the Construction of Highways of Turkmenistan,Государственное агентство по управлению строительством автомобильных дорог Туркменистана,-,-,-,-,-,-
احداث حدود 7 کیلومتر تونل کاجاران و بازسازی حدود 4 کیلومتر راه دسترسی, Construction Of About 7 km Kajaran Tunnel And Reconstruction Of About 4 km Approaching Roads,«Строительные работы по сооружению тоннеля Каджаран протяжённостью около 7 км и реконструкции около 4 км подъездных дорог,در حال ابلاغ,Being communicated,Ожидает утверждения,خارجی,International,Международный,ارمنستان,Armenia,Армения,سرمایه گذاری «اداره راه» به نمایندگی از وزارت مدیریت منطقه‌ای و زیرساخت‌ها,"""Road Department"" Fund on behalf of Ministry of Territorial Administration and Infrastructure",Фонд «Дорожный департамент» при Министерстве территориального управления и инфраструктуры,240000000,USD,7/1/2025,6/29/2031,1404/04/10,1410/04/08
احداث آبگیر ساحل چپ نیروگاه برق‌آبی راغون (قطعه ۴),Procurement of Works Lot 4 (Left Bank Structures),"Закупка работ, Лот 4 (Сооружения левого берега)",در حال ابلاغ,Being communicated,Ожидает утверждения,خارجی,International,Международный,تاجیکستان,Tajikistan,Таджикистан,وزارت انرژى و منابع آب جمهورى تاجیکستان  شرکت سهامى عام نیروگاه برق آبى راغون,OJSC Rogun Hydropower Plant (HPP),ОАО «Рогунская ГЭС»,595645460,USD,-,-,-,-
